pos_review_title,pos_review_content,itemnumber,neg_review_content,maker,neg_review_title
MY FINICKY  DOG,FIRST OF ALL I WANT TO TELL YOU I LOVE YOUR CUSTOMER SERVICE PEOPLE NOT ONLY ARE THEY HELPFUL AND POLITE BUT FUNNY TOO. I WAS REALLY HAVING A BAD DAY WHEN I CALLED AND THE  CUSTOMER SERVICE GUY WAS SO FUNNY AND TRIED TO CHEER ME. NOW THAT'S SERVICE. I WISH I CAN REMEMBER HIS NAME. BUT ANYWAY THANK YOU,110539,Tried this and realize my dog doesn't like beef.  That's just like me.  Donation to a rescue group. Will not be ordering it again.,By Cesar,DOG and Cesar don't mix
Wonderful dog food,"My two rescue dogs love this food.  My store sometimes ran out and it was pricey, but at chewy it is always in Stock and at a very reasonable price. A plus is it can quickly and right to my door. Thank you so much.",47676,"Our little dog only has two teeth and therefore we buy canned food with gravy and mash it up. But we usually buy pedigree canned food and it has wheat and grains.
So I thought I would try Iams. But the meat was tougher to mash. The taste is OK and I am sure it is fine for our little dog. But I'll be",By Iams,canned food w/o wheat or grains
All my Cavaliers love this,"My Cavaliers are picky and will turn their nose up to even this food if they get it several days in a row.  So, instead of 5 stars, I gave this food 4 stars for the previously mentioned reason.  IF/when I find a food that my spoiled fur kids won't turn their noses up to, even if fed frequently, I will",55586,Thought this would be great after reading reviews but the dog will leave it in the bowl all day after just one sniff. Eventually it is eaten if nothing else is given. No comparison to Evangers whole chicken thighs.,By Weruva,Picky eater will not eat
Recommended!,"Our auto order arrived on time, with no hassle of loading my own dog food anymore and at a very reasonable price.  Free shipping.",69778,"I was surprised to see that this dog food is a paste rather than real chicken and vegetables as the other two options offer.  There is a beef and a tuna weight management dog food that actually doesn't look like dog food, but rather something a human could eat.  This chicken dog food is not like that",By Hill's Prescription Diet,Not like the other Weight Management canned dog food
Wonderful food .,"My 13 year old doxie has had a cough and lots of mucus. The vet had her on several antibiotics which did nothing.
I tried this food and she has stopped coughing and the mucus has went away. She loves this food and acts like a puppy when im getting it ready gor her.",49200,"Bought 12 cans but my dog doesn't like them at all, in fact he's afraid of even coming near to this food -- he would hide away! I have no idea why! Donated 11 cans to the local animal hospital.",By Wellness,My dog is AFRAID of coming near to this food
Great dogfood,"We have an aging mini schnauzer that is soon to be 14. She has bladder cancer and is a stubborn, cantankerous, conniving little troublemaker who is the sweetest cuddler with the most tender kisses and biggest brown eyes a black schnauzer could have. And we love her to pieces. We clean up behind her about",52800,"This canned food comes out of the can like a block of cement, no joke! Then try to mix it, good luck! Horrible product.",By Hill's Science Diet,TERRIBLE but dogs like it
My Dog Henry,Henry had been on a Hills UD diet pretty much of his life as my Corgi is 12 Y/O now. I have always fed him Hills UD dry food and he's devoured it. But he recently has lost his sight and his appetite and has lost weight. He's beginning to fail but is in no pain. My vet suggested Hills Solid UD. I ordered,69793,My dog always hesitate eating this food.  Always have to mix with something else to get him to eat it.  It smells bland and very gelatin consistency. Hard for him to chew it.,By Hill's Prescription Diet,Special diet.
really is grain free,"For some reason Chewy doesn't list the correct information on this food. It is grain free. It's a little fatty, but our dog likes it. We sometimes by this at the grocery store, but Chewy has better prices. Thanks!",111090,My finicky chihuahua has been eating this occassionally. So it seemed a good food for the price.,By Purina ONE,First time bought
To Entice a Finicky Eater,"My name is  Bosco, a dog of questionable parentage, and I  can be a bit of a pill when it comes to eating!! I have become more so now. You see, on September 18th,  I lost my third GSD Sister. It was a horrible week. Mommy and Daddy were so upset. They were running to the vets from Monday Sept 11 thru",56765,This food is rated high with dog food watchers but it looks cheap and fake. It's beef but the meat and gravy are very pale.  My dogs ate it the first few days but was hesitant after that.,By Taste of the Wild,Not what I expected
Purina Beniful,"Yes I highly recommend this dog food, the containers are nice sized. The food itself looked fabulous, looked good enough and smelt good enough to eat, has real vegetables and meat chunks in a thick gravy sauce. It's so good my finicky cat loves it too, I know cats shouldn't eat dog food but I couldn't",116637,"While I was.sure she would love this new wet food , she said No!  I must admit she is very difficult to feed. I do no give her highness table food/scraps. So the search is on!",By Purina Beneful,Zoe not liking Beniful veriety pack wet food
I Love Chewy!,"The duck & chicken grill is of the same fine quality of all the Blue products. I love Chewy, being able to purchase all the different products and brands for our critters, with different species and ages. A huge plus is getting our shipments to our door, not having to get it in a cart, in the car, and",85742,"our first order had several (5) slightly bent cans
our second order had 4 slightly bent cans and 4 partly crushed cans
if this is the norm we will not want to reorder",By Blue Buffalo,damaged cans
